experiment_id,status,phase,method,model,seed,config_path,commit,dataset_hash,env_version,verifier_version,started_at,finished_at,artifacts_path,notes
phase0_replay_audit_20260912,completed,phase0,snapshot_replay_audit,none,20260912,configs/experiments/phase0_mail.yaml,4185eb5,NA,0.1.0,0.1.0,2026-09-12T18:15:20+08:00,2026-09-12T18:15:45+08:00,stdout,10000/10000 deterministic replay comparisons matched on Windows Python 3.11.13
mail_dataset_v0_2_20260912,completed,phase0,dataset_generation,none,20260912,configs/data/mail_v0_2.yaml,e17cc55,9c0d2b954a48b39cc25b61e5493c2835d84c89689abdc1f3f586691e8ec752f2,NA,NA,,2026-09-12T18:48:38+08:00,data/manifests/dynacapa_mail_v0_2.manifest.json,Manifest SHA-256 recorded; leakage audit passed
verifier_validation_v0_2_20260912,completed,phase1,deterministic_verifier,none,20260912,configs/evaluation/verifier_validation_v0_2.yaml,b60d586,9c0d2b954a48b39cc25b61e5493c2835d84c89689abdc1f3f586691e8ec752f2,0.1.0,0.1.0,,2026-09-12T18:54:22+08:00,experiments/phase1/verifier_validation_v0_2_ci.json,Frozen test sealed; validation oracle-consistency only
mail_validation_review_v0_2_20260912,prepared,phase1,human_ground_truth_review,none,20260912,configs/data/manual_review_v0_2.yaml,cbfd83c,9c0d2b954a48b39cc25b61e5493c2835d84c89689abdc1f3f586691e8ec752f2,0.1.0,0.1.0,,2026-09-12T18:58:44+08:00,data/manifests/dynacapa_mail_v0_2.manual_review.json,600 primary and 60 stratified secondary assignments; annotation pending
verifier_neighbor_probes_v0_2_20260913,completed,phase1,neighboring_mechanism_proxy_benchmark,none,20260912,configs/evaluation/verifier_validation_v0_2_neighbors.yaml,d845923,9c0d2b954a48b39cc25b61e5493c2835d84c89689abdc1f3f586691e8ec752f2,0.1.0,0.1.0,,2026-09-13T15:21:58+08:00,experiments/phase1/verifier_validation_v0_2_neighbors_probes.json,1557 validation candidates; AuthGraph-style and ARGUS-style structured proxies only; artifact sha256 6cd530e8b503aa9c6d320670a820ae2a5d0c28cfb3761c1955a7f6505546c554; frozen test sealed
mail_validation_qualitative_acceptance_v0_2_20260913,completed_qualitative,phase1,human_qualitative_review,none,20260912,configs/data/manual_review_v0_2.yaml,c9f582e,9c0d2b954a48b39cc25b61e5493c2835d84c89689abdc1f3f586691e8ec752f2,0.1.0,0.1.0,,2026-09-13T16:24:16+08:00,docs/adr/ADR-0002-human-review-and-training-release.md,Researcher and additional reviewers approved qualitative use; row-level labels and quantitative Gate A metrics were not produced
mail_training_compile_minimal_v1_20260913,completed,phase2,sft_dpo_data_compilation,none,20260912,configs/data/mail_training_v0_2.yaml,c9f582e,9c0d2b954a48b39cc25b61e5493c2835d84c89689abdc1f3f586691e8ec752f2,0.1.0,0.1.0,,2026-09-13T16:24:16+08:00,data/manifests/dynacapa_mail_training_v0_2_minimal_v1.manifest.json,5400 SFT and 5400 DPO records; source and output hashes verified; manifest sha256 d23487bf985daf0d2ba0e916c4e5240725d9f7a4d1b1ad3ef3efb1e02eded5ba; pipeline smoke only; frozen test sealed
sft_qwen3_0_6b_mail_v0_2_smoke_seed20260912,completed_engineering_smoke,phase2,sft_lora_pipeline_smoke,Qwen/Qwen3-0.6B,20260912,configs/sft/qwen3_0_6b_smoke.yaml,34d4618,d23487bf985daf0d2ba0e916c4e5240725d9f7a4d1b1ad3ef3efb1e02eded5ba,0.1.0,0.1.0,2026-09-13T17:22:52+08:00,2026-09-13T17:25:55+08:00,outputs/runs/phase2/sft_qwen3_0_6b_mail_v0_2_smoke_seed20260912,Eight optimizer-step engineering smoke only; global step 8; train loss 1.989620; eval loss 2.174398; adapter sha256 320401a017ae681f39e5b7f68566f220042ed1b9b6e106d93d93d16ce88048c7; JSON evidence copied to experiments/phase2; not a Gate B result
dpo_qwen3_0_6b_mail_v0_2_smoke_seed20260912,completed_engineering_smoke,phase2,dpo_sigmoid_pipeline_smoke,Qwen/Qwen3-0.6B,20260912,configs/preference/qwen3_0_6b_smoke.yaml,3deb9af,d23487bf985daf0d2ba0e916c4e5240725d9f7a4d1b1ad3ef3efb1e02eded5ba,0.1.0,0.1.0,2026-09-13T17:29:47+08:00,2026-09-13T17:36:55+08:00,outputs/runs/phase2/dpo_qwen3_0_6b_mail_v0_2_smoke_seed20260912,Eight optimizer-step engineering smoke only; global step 8; train loss 0.493020; eval loss 0.331085; eval pair accuracy 1.0; eval reward margin 0.960826; adapter sha256 a519ccbd74a959e9992026ab52790aa2c1d4ce03c189fff3a22291e49251785c; not a Gate B result
sft_token_length_audit_qwen3_0_6b_mail_v0_2_20260913,completed,phase2,chat_template_token_length_audit,Qwen/Qwen3-0.6B,20260912,configs/sft/qwen3_0_6b_smoke.yaml,001a6a0,d23487bf985daf0d2ba0e916c4e5240725d9f7a4d1b1ad3ef3efb1e02eded5ba,0.1.0,0.1.0,,2026-09-13T17:17:54+08:00,experiments/phase2/sft_qwen3_0_6b_mail_v0_2_token_lengths.json,Tokenizer revision pinned; train max 1079 and validation max 1074; zero examples above 4096; artifact sha256 851dd38a4cdabac6283b02f1bd6fde24e9370af9253e286578f1e477749e8480
dpo_token_length_audit_qwen3_0_6b_mail_v0_2_20260913,completed,phase2,chat_template_token_length_audit,Qwen/Qwen3-0.6B,20260912,configs/preference/qwen3_0_6b_smoke.yaml,34d4618,d23487bf985daf0d2ba0e916c4e5240725d9f7a4d1b1ad3ef3efb1e02eded5ba,0.1.0,0.1.0,,2026-09-13T17:27:46+08:00,experiments/phase2/dpo_qwen3_0_6b_mail_v0_2_token_lengths.json,Tokenizer revision pinned; train branch max 1080 and validation branch max 1075; zero branches above 4096; artifact sha256 319406396c19d480a023a87b4cebd6178823b0979033868e936e089e63ebe666
